respondentid,seen_bool,fan_bool,seen_1,seen_2,seen_3,seen_4,seen_5,seen_6,ranking_1,ranking_2,ranking_3,ranking_4,ranking_5,ranking_6,expanded_universe_aware,expanded_universe_fan,star_trek_fan,gender,age,household_income,education,location
3292609214.0,True,False,True,True,True,True,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Male,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic
3292596911.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,2.0,3.0,1.0,False,,False,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
3292587240.0,True,True,True,True,True,True,True,True,4.0,2.0,5.0,3.0,1.0,6.0,False,,False,Male,18-29,,High school degree,East North Central
3292583038.0,True,True,True,True,True,True,True,True,4.0,6.0,5.0,3.0,1.0,2.0,True,True,True,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central
3292580516.0,True,True,False,False,False,True,False,False,4.0,1.0,2.0,3.0,5.0,6.0,True,True,False,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England
3292572872.0,True,True,True,True,True,False,False,True,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Male,18-29,,Some college or Associate degree,Middle Atlantic
3292565282.0,True,True,True,True,True,True,True,True,6.0,5.0,2.0,3.0,1.0,4.0,False,,False,Male,18-29,,High school degree,South Atlantic
3292562297.0,True,True,True,True,True,True,True,True,6.0,5.0,1.0,4.0,3.0,2.0,False,,True,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central
3292522349.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,1.0,2.0,3.0,False,,False,Male,18-29,,Some college or Associate degree,Pacific
3292521066.0,True,False,True,True,True,True,True,False,3.0,4.0,5.0,1.0,2.0,6.0,False,,False,Male,18-29,,Bachelor degree,Pacific
3292511801.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,3.0,1.0,2.0,True,True,True,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
3292483200.0,True,True,True,True,True,True,True,True,6.0,1.0,4.0,2.0,3.0,5.0,False,,False,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific
3292465491.0,True,True,True,True,True,True,True,True,1.0,2.0,6.0,3.0,4.0,5.0,False,,False,Male,18-29,,,East North Central
3292447974.0,False,False,False,False,False,False,False,False,,,,,,,,,True,Male,18-29,"$0 - $24,999",High school degree,East South Central
3292420123.0,True,True,True,True,True,True,True,True,4.0,6.0,5.0,2.0,3.0,1.0,True,False,False,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3292384040.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,3.0,1.0,False,,False,Male,18-29,,Some college or Associate degree,Middle Atlantic
3292380493.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,True,False,False,Male,18-29,,Some college or Associate degree,Middle Atlantic
3292376985.0,True,True,True,True,True,True,True,True,4.0,6.0,5.0,2.0,1.0,3.0,True,True,True,Male,18-29,"$150,000+",Some college or Associate degree,East North Central
3292366792.0,True,False,True,True,True,True,True,True,4.0,3.0,5.0,6.0,2.0,1.0,False,,False,Male,30-44,"$0 - $24,999",High school degree,New England
3292339379.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,True,True,True,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
3292330840.0,True,False,True,True,True,True,True,True,6.0,1.0,2.0,3.0,4.0,5.0,False,,False,Male,18-29,,,Middle Atlantic
3292318652.0,True,False,False,True,True,False,False,False,6.0,1.0,2.0,3.0,4.0,5.0,False,,False,Male,18-29,"$50,000 - $99,999",High school degree,Mountain
3292297848.0,False,False,False,False,False,False,False,False,,,,,,,,,True,Male,30-44,"$50,000 - $99,999",Graduate degree,East South Central
3292290677.0,True,True,True,True,True,True,True,True,6.0,3.0,4.0,1.0,2.0,5.0,False,,False,Male,30-44,"$150,000+",Graduate degree,East North Central
3292281095.0,True,True,True,True,True,True,True,True,3.0,2.0,1.0,4.0,6.0,5.0,False,,False,Male,18-29,"$0 - $24,999",Bachelor degree,West North Central
3292279889.0,True,True,True,True,True,True,True,True,2.0,4.0,5.0,1.0,6.0,3.0,False,,False,Male,18-29,,Some college or Associate degree,Pacific
3292264069.0,True,True,True,True,True,True,True,True,6.0,3.0,5.0,1.0,4.0,2.0,True,False,True,Male,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3292257520.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,2.0,1.0,True,True,True,Male,30-44,"$0 - $24,999",High school degree,West North Central
3292249492.0,True,True,True,True,True,True,True,True,5.0,6.0,2.0,3.0,4.0,1.0,False,,True,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3292222729.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,True,True,False,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3292221635.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,2.0,1.0,3.0,True,True,False,Male,18-29,"$25,000 - $49,999",Bachelor degree,West North Central
3292218251.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,True,True,True,Male,18-29,"$150,000+",Bachelor degree,Pacific
3292214307.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,3.0,2.0,1.0,True,False,False,Male,18-29,"$25,000 - $49,999",High school degree,New England
3292210606.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,False,,False,Male,18-29,,Some college or Associate degree,West North Central
3292202220.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,18-29,"$0 - $24,999",High school degree,Pacific
3292189580.0,True,True,True,True,True,True,True,True,5.0,4.0,6.0,3.0,1.0,2.0,True,True,True,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
3292187343.0,True,False,True,True,True,True,True,True,6.0,5.0,4.0,1.0,2.0,3.0,False,,False,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
3292186608.0,False,False,False,False,False,False,False,False,,,,,,,,,True,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3292178389.0,True,True,True,False,False,True,True,True,4.0,6.0,5.0,3.0,1.0,2.0,False,,True,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain
3292176862.0,True,True,True,True,True,True,True,True,6.0,4.0,5.0,3.0,1.0,2.0,True,False,False,Male,18-29,,High school degree,South Atlantic
3292173922.0,True,True,True,True,True,True,True,True,4.0,5.0,1.0,6.0,2.0,3.0,False,,True,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central
3292167131.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,2.0,1.0,3.0,True,False,False,Male,18-29,"$25,000 - $49,999",High school degree,New England
3292162057.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,False,,False,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,Mountain
3292161407.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,18-29,,High school degree,West South Central
3292156614.0,True,True,True,True,True,True,True,True,4.0,6.0,5.0,2.0,1.0,3.0,False,,False,Male,18-29,"$150,000+",Bachelor degree,West South Central
3292148570.0,True,True,True,True,True,True,True,True,6.0,4.0,5.0,3.0,1.0,2.0,False,,True,Male,18-29,"$50,000 - $99,999",Graduate degree,West North Central
3292144665.0,True,True,True,True,True,True,True,True,6.0,4.0,5.0,3.0,1.0,2.0,True,True,False,Male,18-29,"$0 - $24,999",High school degree,New England
3292143503.0,True,False,True,True,False,True,True,True,5.0,4.0,6.0,1.0,3.0,2.0,False,,False,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
3292131636.0,True,True,True,True,True,True,True,True,5.0,6.0,2.0,3.0,1.0,4.0,True,False,False,Male,18-29,"$150,000+",Bachelor degree,Pacific
3292125068.0,True,True,False,False,False,True,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,True,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3292120160.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,2.0,1.0,3.0,True,True,False,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,New England
3292103680.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,False,,False,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3292050153.0,True,False,True,True,True,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3292041365.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,True,True,True,Male,18-29,"$150,000+",Some college or Associate degree,East South Central
3292033243.0,True,True,True,True,True,True,True,True,6.0,1.0,5.0,3.0,4.0,2.0,True,True,False,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3292031637.0,True,False,True,True,True,True,True,True,6.0,5.0,2.0,4.0,3.0,1.0,False,,False,Male,18-29,"$25,000 - $49,999",Graduate degree,East South Central
3292008762.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,2.0,1.0,3.0,True,True,True,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East South Central
3291992352.0,True,True,True,True,True,True,True,True,4.0,5.0,3.0,6.0,2.0,1.0,False,,True,Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central
3291945498.0,True,True,True,True,True,True,True,True,6.0,4.0,5.0,2.0,1.0,3.0,False,,True,Male,30-44,"$50,000 - $99,999",Graduate degree,West North Central
3291940517.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,3.0,2.0,1.0,False,,True,Male,18-29,"$100,000 - $149,999",Bachelor degree,West North Central
3291871486.0,True,True,True,True,True,True,True,True,5.0,6.0,2.0,4.0,1.0,3.0,True,False,True,Male,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic
3291778150.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,True,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3291766314.0,True,False,True,True,True,True,True,True,4.0,5.0,6.0,2.0,3.0,1.0,False,,False,Male,30-44,"$50,000 - $99,999",High school degree,Pacific
3291762799.0,True,True,True,True,True,True,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,True,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3291707153.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
3291701619.0,True,True,True,True,True,True,True,True,6.0,5.0,2.0,3.0,4.0,1.0,False,,True,Male,18-29,,Bachelor degree,New England
3291696391.0,True,True,True,True,False,True,True,True,5.0,4.0,6.0,1.0,2.0,3.0,True,False,False,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
3291684768.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,1.0,2.0,3.0,False,,False,Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central
3291669388.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291661584.0,True,False,False,False,False,False,True,True,6.0,5.0,4.0,3.0,2.0,1.0,False,,False,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3291658046.0,True,True,True,True,True,True,True,True,6.0,4.0,5.0,1.0,2.0,3.0,False,,True,Male,30-44,,Graduate degree,South Atlantic
3291654919.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,3.0,1.0,False,,True,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central
3291653882.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
3291650311.0,True,True,True,True,True,True,True,True,6.0,5.0,3.0,2.0,1.0,4.0,False,,True,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central
3291649780.0,False,False,False,False,False,False,False,False,,,,,,,,,False,,,,,
3291648660.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,> 60,,,West North Central
3291641416.0,True,False,True,True,True,False,True,True,1.0,4.0,3.0,6.0,5.0,2.0,True,False,True,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3291635934.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,New England
3291634205.0,True,False,True,True,False,True,True,True,5.0,4.0,6.0,2.0,3.0,1.0,False,,False,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific
3291618031.0,True,False,False,False,False,True,True,True,6.0,5.0,4.0,1.0,3.0,2.0,False,,False,Male,18-29,,Bachelor degree,Middle Atlantic
3291603688.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,18-29,"$25,000 - $49,999",,West North Central
3291602842.0,True,True,True,True,True,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,True,False,False,Male,30-44,"$50,000 - $99,999",High school degree,Pacific
3291598188.0,True,True,False,False,True,True,True,True,6.0,5.0,4.0,3.0,2.0,1.0,False,,True,Male,> 60,"$50,000 - $99,999",High school degree,South Atlantic
3291588139.0,True,True,True,True,True,True,True,True,1.0,4.0,5.0,2.0,3.0,6.0,False,,True,Male,> 60,"$50,000 - $99,999",Bachelor degree,West South Central
3291570206.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291548852.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,1.0,3.0,2.0,False,,False,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
3291529925.0,True,True,True,True,True,True,True,True,3.0,5.0,6.0,2.0,1.0,4.0,False,,False,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3291524547.0,True,False,True,True,True,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
3291502449.0,True,True,True,True,False,False,True,True,2.0,3.0,6.0,5.0,1.0,4.0,False,,True,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3291497337.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,1.0,3.0,2.0,True,True,True,Male,> 60,"$150,000+",Bachelor degree,South Atlantic
3291482197.0,True,True,True,True,True,True,True,True,5.0,3.0,4.0,6.0,2.0,1.0,False,,True,Male,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic
3291476650.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,30-44,"$25,000 - $49,999",Bachelor degree,East North Central
3291470613.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3291469991.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291468155.0,True,False,False,False,False,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,True,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific
3291461574.0,True,True,False,False,False,True,True,True,6.0,5.0,4.0,1.0,3.0,2.0,False,,True,Male,30-44,,Bachelor degree,East North Central
3291455642.0,True,False,False,False,False,False,True,False,2.0,3.0,4.0,5.0,1.0,6.0,False,,False,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3291446474.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,2.0,1.0,False,,False,Male,30-44,"$50,000 - $99,999",High school degree,East North Central
3291446275.0,True,True,True,True,True,True,True,True,3.0,5.0,6.0,2.0,4.0,1.0,False,,True,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3291439708.0,True,True,True,True,False,False,True,True,1.0,4.0,5.0,6.0,2.0,3.0,True,False,True,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3291439404.0,True,False,True,False,False,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3291437345.0,True,False,True,True,True,True,True,True,4.0,5.0,2.0,1.0,3.0,6.0,False,,False,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
3291435787.0,True,False,True,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3291435056.0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291433636.0,True,False,True,True,True,False,True,True,3.0,4.0,5.0,6.0,2.0,1.0,False,,False,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central
3291431939.0,True,True,True,True,True,True,True,True,3.0,6.0,4.0,1.0,2.0,5.0,False,,True,Female,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic
3291430239.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central
3291430193.0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291428174.0,True,False,False,False,True,False,True,True,4.0,5.0,3.0,6.0,1.0,2.0,False,,False,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3291427761.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3291425110.0,True,True,True,True,True,True,True,True,6.0,4.0,5.0,1.0,2.0,3.0,True,False,True,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3291424127.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,2.0,1.0,False,,False,Female,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic
3291424006.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3291422637.0,True,False,False,False,False,True,True,True,4.0,5.0,6.0,2.0,3.0,1.0,False,,False,Female,> 60,"$25,000 - $49,999",Graduate degree,East North Central
3291421381.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3291420030.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291410155.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,"$0 - $24,999",Some college or Associate degree,New England
3291405943.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291402264.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,> 60,"$25,000 - $49,999",High school degree,East North Central
3291401326.0,True,True,True,True,True,True,True,True,2.0,3.0,4.0,1.0,5.0,6.0,False,,True,Male,> 60,"$25,000 - $49,999",High school degree,Middle Atlantic
3291395512.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,3.0,1.0,True,False,False,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3291394022.0,True,False,True,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,True,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3291391717.0,False,False,False,False,False,False,False,False,,,,,,,,,False,,,,,
3291391446.0,True,True,False,False,False,False,True,True,4.0,5.0,6.0,3.0,2.0,1.0,False,,True,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central
3291391033.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3291390734.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,New England
3291388906.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,,High school degree,Mountain
3291388180.0,True,False,True,False,True,False,True,True,3.0,6.0,4.0,5.0,1.0,2.0,False,,False,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3291380973.0,True,False,False,False,False,False,True,True,5.0,6.0,3.0,4.0,1.0,2.0,False,,True,Female,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3291378572.0,True,False,True,True,False,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Female,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3291375306.0,True,False,False,False,False,False,True,True,2.0,3.0,4.0,5.0,6.0,1.0,False,,False,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3291364062.0,True,True,True,True,True,True,True,True,4.0,3.0,6.0,2.0,5.0,1.0,False,,True,Male,45-60,,Some college or Associate degree,South Atlantic
3291345427.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,False,Female,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3291341186.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291330710.0,True,False,True,True,True,True,True,True,6.0,5.0,4.0,2.0,3.0,1.0,False,,False,Male,30-44,"$0 - $24,999",Some college or Associate degree,East North Central
3291327304.0,True,False,False,False,False,False,True,True,1.0,2.0,4.0,5.0,6.0,3.0,False,,False,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3291320154.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,2.0,3.0,1.0,False,,True,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3291312980.0,True,False,False,False,False,False,True,False,4.0,2.0,3.0,5.0,1.0,6.0,False,,False,Female,18-29,"$0 - $24,999",High school degree,West North Central
3291290675.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central
3291288174.0,True,True,True,False,False,False,True,True,4.0,5.0,6.0,2.0,3.0,1.0,False,,True,Female,> 60,"$50,000 - $99,999",Bachelor degree,West North Central
3291271932.0,True,False,True,False,False,True,True,True,4.0,5.0,6.0,1.0,3.0,2.0,False,,False,Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central
3291267852.0,True,False,False,False,False,True,True,True,4.0,6.0,5.0,1.0,2.0,3.0,False,,True,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3291262515.0,True,False,True,True,True,True,True,True,4.0,5.0,6.0,3.0,1.0,2.0,False,,False,Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
3291233218.0,True,True,True,True,True,True,True,True,4.0,3.0,5.0,6.0,1.0,2.0,True,False,True,Female,30-44,,Some college or Associate degree,Pacific
3291206864.0,True,False,True,True,True,True,True,True,3.0,1.0,2.0,4.0,5.0,6.0,False,,False,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
3291203531.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
3291184745.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,2.0,1.0,3.0,False,,False,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3291181010.0,True,False,True,True,True,True,True,True,6.0,5.0,4.0,3.0,1.0,2.0,False,,False,Male,30-44,"$0 - $24,999",Graduate degree,Pacific
3291159863.0,True,False,True,False,False,True,True,True,4.0,5.0,6.0,3.0,1.0,2.0,False,,True,Female,45-60,,Bachelor degree,Pacific
3291145258.0,True,False,True,False,False,False,False,True,2.0,3.0,4.0,5.0,6.0,1.0,False,,False,Female,18-29,,High school degree,Pacific
3291141478.0,True,True,True,True,True,True,True,True,1.0,2.0,3.0,6.0,5.0,4.0,True,True,True,Female,> 60,"$150,000+",Graduate degree,Pacific
3291139156.0,True,True,False,False,False,True,True,True,4.0,5.0,6.0,1.0,3.0,2.0,False,,True,Female,45-60,,Bachelor degree,West North Central
3291121359.0,True,False,False,False,False,False,True,True,3.0,5.0,6.0,4.0,1.0,2.0,True,False,True,Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic
3291119656.0,True,False,True,True,True,True,True,True,3.0,1.0,2.0,4.0,5.0,6.0,False,,False,Male,30-44,"$25,000 - $49,999",High school degree,Mountain
3291101925.0,True,False,True,True,True,True,True,True,6.0,4.0,2.0,5.0,3.0,1.0,True,False,False,Female,18-29,"$0 - $24,999",Bachelor degree,Mountain
3291094347.0,True,False,True,True,False,False,False,True,1.0,3.0,4.0,5.0,6.0,2.0,False,,True,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3291092094.0,True,False,False,False,False,True,True,True,2.0,1.0,4.0,3.0,5.0,6.0,False,,False,Female,45-60,"$25,000 - $49,999",High school degree,East North Central
3291077381.0,True,False,True,True,True,True,True,True,5.0,6.0,4.0,2.0,1.0,3.0,False,,True,Male,45-60,"$150,000+",Graduate degree,Mountain
3291075212.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,True,False,True,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,East South Central
3291064417.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3291063226.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,1.0,2.0,3.0,False,,False,Female,18-29,"$150,000+",Bachelor degree,Pacific
3291060156.0,True,True,False,False,False,True,True,True,4.0,5.0,6.0,1.0,3.0,2.0,False,,False,Female,30-44,"$0 - $24,999",Bachelor degree,Mountain
3291056296.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,1.0,2.0,3.0,True,True,False,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,West North Central
3291052728.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,1.0,2.0,3.0,True,False,True,Male,45-60,"$50,000 - $99,999",Graduate degree,West South Central
3291051343.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,2.0,1.0,3.0,False,,True,Male,45-60,"$0 - $24,999",High school degree,Middle Atlantic
3291045360.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,1.0,3.0,2.0,False,,True,Male,45-60,,Graduate degree,East South Central
3291043176.0,True,False,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,False,Male,30-44,,Some college or Associate degree,Pacific
